@RELATION psycho

@ATTRIBUTE Возраст	REAL
@ATTRIBUTE Стаж 	REAL
@ATTRIBUTE Активность 	REAL
@ATTRIBUTE Пассивность	REAL
@ATTRIBUTE Стереотипность	REAL
@ATTRIBUTE Хаотичность	REAL
@ATTRIBUTE Доброжелательность	REAL
@ATTRIBUTE Справделивость	REAL
@ATTRIBUTE Контролируемость	REAL
@ATTRIBUTE Закономерность	REAL
@ATTRIBUTE Самооценка	REAL
@ATTRIBUTE СКС	REAL
@ATTRIBUTE Удача	REAL
@ATTRIBUTE class 	{1,2}

@DATA
21,3,7,0,2,7,25,23,15,8,18,20,7,1
62,30,5,1,7,3,27,19,10,11,17,13,12,1
30,10,4,2,5,5,20,22,15,12,21,17,16,1
20,0.5,4,5,4,3,36,17,11,12,20,16,12,1
28,1.5,6,2,4,4,27,23,13,12,23,12,20,1
24,1,3,4,5,4,34,24,17,13,21,21,17,1
25,2.5,8,2,4,2,30,16,15,13,19,21,15,1
26,3.5,9,0,3,4,31,15,13,13,13,20,15,1
25,0.5,9,2,4,1,35,23,14,7,22,20,15,1
57,35,8,4,3,1,36,24,14,13,17,17,15,1
22,2,6,6,3,1,32,26,15,11,20,20,16,1
20,2,4,4,5,3,25,27,17,7,19,23,18,1
52,10,7,0,8,1,40,19,11,16,22,17,17,1
37,1,8,0,6,2,41,11,9,13,13,13,12,1
22,0.6,7,0,6,3,33,20,13,10,17,19,15,1
21,3.5,4,0,7,5,41,20,9,18,18,19,17,2
23,1,9,3,1,3,33,14,8,12,18,15,17,2
21,5,5,3,4,4,34,18,14,16,19,20,16,2
21,2,7,1,5,3,27,13,13,7,18,15,12,2
21,4,3,5,5,3,30,15,11,15,15,14,18,2
22,3,7,0,7,2,30,8,10,15,11,12,11,2
22,6,6,1,6,3,31,17,13,10,22,20,15,2
21,3,3,4,2,7,31,18,12,17,13,18,15,2
21,3,4,1,6,5,38,20,7,8,19,12,19,2
21,2,3,1,7,5,31,18,13,9,24,16,15,2
21,5,2,5,6,3,32,17,7,15,22,16,20,2
21,5,7,2,2,5,28,13,11,18,18,12,8,2
22,3,4,1,6,5,28,12,10,13,7,10,7,2
21,2,6,2,3,5,36,26,11,15,19,16,18,2
21,1.5,5,1,6,4,30,21,12,17,21,16,16,2
22,2,6,1,5,4,29,11,7,9,8,13,15,2
22,6,4,0,6,6,33,17,12,13,20,16,15,2
21,5,7,4,1,4,35,22,9,11,15,14,17,2
23,1,5,1,4,6,35,14,8,13,20,17,17,2
21,4,6,3,5,2,39,17,11,7,12,18,21,2
21,2,4,1,4,7,26,20,13,13,20,16,19,2
21,2,4,1,4,7,22,14,9,11,18,13,14,2
21,2,7,2,2,5,34,15,9,12,20,15,17,2
21,4,5,1,4,6,40,25,14,17,20,18,19,2
21,2,1,4,7,4,23,15,11,14,19,18,13,2
21,5,5,4,2,5,36,24,15,17,23,19,13,2
20,6,6,2,2,6,34,23,15,18,21,19,19,2
22,5,8,2,2,4,41,11,9,11,17,17,15,2
